Filepath,Class
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/SKB016.2020-04-28.200.W1+V1_1836.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_15783.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_13161.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_16788.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_27992.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_22721.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_2045.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN030.2019-03-20.004.A1+A1_4992.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_15789.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_8599.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_3523.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_6736.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_219.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_3331.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_257.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_1418.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_30258.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_8699.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_5389.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_1703.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_26525.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_4494.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/SKB016.2020-04-28.200.W1+V1_1229.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_11916.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN030.2019-03-20.004.A1+A1_6267.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_3039.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_23101.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN030.2019-03-20.004.A1+A1_2590.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_24965.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_6041.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-18.050.A1+T1_2950.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_26363.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_3278.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_7862.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_20589.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_24959.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_1564.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/SKB016.2020-04-28.200.W1+V1_1823.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_4861.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_5377.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_3701.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_29983.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_5305.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A2+T1_3324.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_6334.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_4629.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_9912.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_21407.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN032.2019-03-18.008.A1+A1_2811.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_258.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_29502.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/SKB016.2020-04-28.200.W1+V1_459.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/SKB016.2020-04-28.200.W1+V1_1588.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_11496.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_8698.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_3330.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_4510.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_592.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN026.2019-03-21.009.A1+A1_921.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_3379.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_5532.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN030.2019-03-20.004.A1+A1_5348.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN028.2019-03-21.003.A1+A1_4724.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_29771.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_10361.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/SKB016.2020-04-28.200.W1+V1_417.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_4289.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN030.2019-03-20.004.A1+A1_2900.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_6106.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_6106.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN028.2019-03-21.003.A1+A1_7466.jpg,Sagittoidea sp1
