Filepath,Class
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB045.2019-10-16.001.A1+A1_6469.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB048.2019-10-17.001.A1+A1_13371.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB003.2019-06-06.001.A1+A1_3492.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB048.2019-10-17.001.A1+A1_4104.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB061.2019-11-08.001.A1+A1_2949.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB061.2019-11-08.001.A1+A1_17390.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB045.2019-10-16.001.A1+A1_2654.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB048.2019-10-17.001.A1+A1_11129.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB048.2019-10-17.001.A1+A1_13973.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB051.2019-10-18.001.A1+A1_29466.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB061.2019-11-08.001.A1+A1_20385.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB075.2019-11-26.001.A1+A1_4050.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/CBR001.2020-09-22.005.T1+L1_5617.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB051.2019-10-18.001.A1+A1_31805.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB047.2019-10-17.001.A1+A1_6564.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB048.2019-10-17.001.A1+A1_11670.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB051.2019-10-18.001.A1+A1_14468.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB045.2019-10-16.001.A1+A1_8531.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB051.2019-10-18.001.A1+A1_31694.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB019.2019-07-16.001.A1+A1_6923.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_32157.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_5361.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_5152.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB081.2019-12-04.001.A1+A1_1474.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_17594.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB045.2019-10-16.001.A1+A1_5739.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_25951.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB073.2019-11-25.001.A1+A1_4606.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_27077.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB002.2019-06-05.001.A1+A1_10188.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_32829.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_31633.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB011.2019-06-25.001.A1+A1_1151.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_16169.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB045.2019-10-16.001.A1+A1_2192.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB045.2019-10-16.001.A1+A1_9355.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB047.2019-10-17.001.A1+A1_19037.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB005.2019-06-12.001.A1+A1_280.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB075.2019-11-26.001.A1+A1_7623.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB015.2019-07-09.001.A1+A1_16007.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/CBR001.2020-11-10.001.A1+L1_8119.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB081.2019-12-04.001.A1+A1_3154.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB068.2019-11-18.001.A1+A1_55585.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_31462.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_31680.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB048.2019-10-17.001.A1+A1_7114.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB045.2019-10-16.001.A1+A1_2507.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB073.2019-11-25.001.A1+A1_3492.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB073.2019-11-25.001.A1+A1_2500.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/CBR001.2020-09-18.006.T1+L2_2282.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/CBR001.2020-20-19.045.T1+F1_767.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_30961.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/CBR001.2020-11-10.001.A1+L1_14965.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB011.2019-06-25.001.A1+A1_8413.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB005.2019-06-12.001.A1+A1_26.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB078.2019-12-02.001.A1+A1_942.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/CBR001.2020-09-18.006.T1+L2_2279.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_15812.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB075.2019-11-26.001.A1+A1_8142.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB081.2019-12-04.001.A1+A1_5183.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB081.2019-12-04.001.A1+A1_3762.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB077.2019-12-02.001.A1+A1_3636.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/CBR001.2020-09-18.006.T1+L2_2241.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB075.2019-11-26.001.A1+A1_5307.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_12072.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB075.2019-11-26.001.A1+A1_3414.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB045.2019-10-16.001.A1+A1_81.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB075.2019-11-26.001.A1+A1_851.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/CBR001.2020-09-18.006.T1+L2_2219.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_21920.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB011.2019-06-25.001.A1+A1_34048.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB068.2019-11-18.001.A1+A1_67626.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB005.2019-06-12.001.A1+A1_326.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB015.2019-07-09.001.A1+A1_17966.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB077.2019-12-02.001.A1+A1_3542.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB015.2019-07-09.001.A1+A1_1774.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_33306.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB081.2019-12-04.001.A1+A1_2082.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_26499.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB075.2019-11-26.001.A1+A1_3839.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/CBR001.2020-09-18.006.T1+L2_2281.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/CBR001.2020-09-18.006.T1+L2_1029.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_15865.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB075.2019-11-26.001.A1+A1_5191.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_27584.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB077.2019-12-02.001.A1+A1_1235.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB005.2019-06-12.001.A1+A1_130.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_27391.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB048.2019-10-17.001.A1+A1_7514.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB068.2019-11-18.001.A1+A1_66508.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB047.2019-10-17.001.A1+A1_6158.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB051.2019-10-18.001.A1+A1_33240.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB015.2019-07-09.001.A1+A1_19013.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB075.2019-11-26.001.A1+A1_7805.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB045.2019-10-16.001.A1+A1_1270.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB042.2019-10-15.001.A1+A1_7952.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB011.2019-06-25.001.A1+A1_34049.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1/FVB015.2019-07-09.001.A1+A1_19102.jpg,Nauplius spp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp2/CBR001.2020-09-18.006.T1+L2_2220.jpg,Nauplius spp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp2/CBR001.2020-09-18.006.T1+L2_977.jpg,Nauplius spp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp2/FVB039.2019-10-14.001.A1+A1_7748.jpg,Nauplius spp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp2/FVB011.2019-06-25.001.A1+A1_4540.jpg,Nauplius spp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp2/CBR001.2020-09-18.006.T1+L2_2260.jpg,Nauplius spp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp2/FVB051.2019-10-18.001.A1+A1_32226.jpg,Nauplius spp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp2/CBR001.2020-09-18.006.T1+L2_2177.jpg,Nauplius spp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp2/FVB068.2019-11-18.001.A1+A1_58270.jpg,Nauplius spp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp2/FVB048.2019-10-17.001.A1+A1_6528.jpg,Nauplius spp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp2/FVB077.2019-12-02.001.A1+A1_4341.jpg,Nauplius spp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp2/FVB048.2019-10-17.001.A1+A1_7144.jpg,Nauplius spp2
